id,name,old_price,new_price,old_quantity,new_quantity
f1_sp000025286,,NEW,,NEW,
f1_sp000025629,,NEW,,NEW,
f1_sp000032775,,NEW,,NEW,
f1_sp000024453,,NEW,,NEW,
f1_sp000027849,,NEW,,NEW,
f1_sp000032628,,NEW,,NEW,
f1_sp000032619,,NEW,,NEW,
f1_sp000032785,,NEW,,NEW,
f1_sp000031261,,NEW,,NEW,
f1_sp000032639,,NEW,,NEW,
f1_sp000022511,,NEW,,NEW,
f1_sp000026287,,NEW,,NEW,
f1_sp000032524,,NEW,,NEW,
f1_sp000032788,,NEW,,NEW,
f1_sp000033940,,NEW,,NEW,
f1_sp000034313,,NEW,,NEW,
f1_sp000035273,,NEW,,NEW,
f1_sp000018596,,NEW,,NEW,
f1_sp000027502,,NEW,,NEW,
f1_sp000027503,,NEW,,NEW,
f1_sp000032637,,NEW,,NEW,
f1_sp000032649,,NEW,,NEW,
f1_sp000020248,,NEW,,NEW,
f1_sp000027496,,NEW,,NEW,
f1_sp000027497,,NEW,,NEW,
f1_sp000027500,,NEW,,NEW,
f1_sp000017458,,NEW,,NEW,
f1_sp000002311,,NEW,,NEW,
f1_sp000006184,,NEW,,NEW,
f1_sp000006404,,NEW,,NEW,
f1_sp000002438,,NEW,,NEW,
f1_sp000033095,,NEW,,NEW,
f1_sp000002312,,NEW,,NEW,
f1_sp000002313,,NEW,,NEW,
f1_sp000006186,,NEW,,NEW,
f1_sp000002439,,NEW,,NEW,
f1_sp000026990,,NEW,,NEW,
f1_sp000002314,,NEW,,NEW,
f1_sp000023060,,NEW,,NEW,
f1_sp000028432,,NEW,,NEW,
f1_sp000028433,,NEW,,NEW,
f1_sp000028434,,NEW,,NEW,
f1_sp000032693,,NEW,,NEW,
f1_sp000032695,,NEW,,NEW,
f1_sp000033872,,NEW,,NEW,
f1_sp000002310,,NEW,,NEW,
f1_sp000011596,,NEW,,NEW,
f1_sp000028839,,NEW,,NEW,
f1_sp000028841,,NEW,,NEW,
f1_sp000028842,,NEW,,NEW,
f1_sp000028843,,NEW,,NEW,
f1_sp000032042,,NEW,,NEW,
f1_sp000034843,,NEW,,NEW,
f1_sp000017443,,NEW,,NEW,
f1_sp000013133,,NEW,,NEW,
f1_sp000029392,,NEW,,NEW,
f1_sp000032601,,NEW,,NEW,
f1_sp000032604,,NEW,,NEW,
f1_sp000032610,,NEW,,NEW,
f1_sp000032613,,NEW,,NEW,
f1_sp000032764,,NEW,,NEW,
f1_sp000033662,,NEW,,NEW,
f1_sp000034763,,NEW,,NEW,
f1_sp000034775,,NEW,,NEW,
f1_sp000034776,,NEW,,NEW,
f1_sp000035268,,NEW,,NEW,
f1_sp000035270,,NEW,,NEW,
f1_sp000020224,,NEW,,NEW,
f1_sp000024439,,NEW,,NEW,
f1_sp000032530,,NEW,,NEW,
f1_sp000032531,,NEW,,NEW,
f1_sp000032532,,NEW,,NEW,
f1_sp000032533,,NEW,,NEW,
f1_sp000032643,,NEW,,NEW,
f1_sp000005713,,NEW,,NEW,
f1_sp000005714,,NEW,,NEW,
